sample: 0, episode: 0, total reward: 21.0
sample: 1, episode: 0, total reward: 9.0
sample: 2, episode: 0, total reward: 17.0
sample: 3, episode: 0, total reward: 21.0
sample: 4, episode: 0, total reward: 19.0
sample: 5, episode: 0, total reward: 30.0
sample: 6, episode: 0, total reward: 12.0
sample: 7, episode: 0, total reward: 18.0
sample: 8, episode: 0, total reward: 34.0
sample: 9, episode: 0, total reward: 24.0
sample: 10, episode: 0, total reward: 12.0
sample: 11, episode: 0, total reward: 15.0
sample: 12, episode: 0, total reward: 41.0
sample: 13, episode: 0, total reward: 21.0
sample: 14, episode: 0, total reward: 14.0
sample: 15, episode: 0, total reward: 23.0
sample: 16, episode: 0, total reward: 20.0
sample: 17, episode: 0, total reward: 18.0
sample: 18, episode: 0, total reward: 40.0
sample: 19, episode: 0, total reward: 13.0
sample: 20, episode: 0, total reward: 21.0
sample: 21, episode: 0, total reward: 11.0
sample: 22, episode: 0, total reward: 13.0
sample: 23, episode: 0, total reward: 17.0
sample: 24, episode: 0, total reward: 21.0
sample: 25, episode: 0, total reward: 16.0
sample: 26, episode: 0, total reward: 23.0
sample: 27, episode: 0, total reward: 15.0
sample: 28, episode: 0, total reward: 60.0
sample: 29, episode: 0, total reward: 33.0
sample: 30, episode: 0, total reward: 14.0
sample: 31, episode: 0, total reward: 34.0
sample: 32, episode: 0, total reward: 16.0
sample: 33, episode: 0, total reward: 20.0
sample: 34, episode: 0, total reward: 20.0
sample: 35, episode: 0, total reward: 23.0
sample: 36, episode: 0, total reward: 31.0
sample: 37, episode: 0, total reward: 30.0
sample: 38, episode: 0, total reward: 10.0
sample: 39, episode: 0, total reward: 28.0
sample: 40, episode: 0, total reward: 18.0
sample: 41, episode: 0, total reward: 16.0
sample: 42, episode: 0, total reward: 26.0
sample: 43, episode: 0, total reward: 14.0
sample: 44, episode: 0, total reward: 10.0
sample: 45, episode: 0, total reward: 17.0
sample: 46, episode: 0, total reward: 14.0
sample: 47, episode: 0, total reward: 13.0
sample: 48, episode: 0, total reward: 23.0
sample: 49, episode: 0, total reward: 21.0
sample: 50, episode: 0, total reward: 37.0
sample: 51, episode: 0, total reward: 20.0
sample: 52, episode: 0, total reward: 11.0
sample: 53, episode: 0, total reward: 22.0
sample: 54, episode: 0, total reward: 58.0
sample: 55, episode: 0, total reward: 17.0
sample: 56, episode: 0, total reward: 12.0
sample: 57, episode: 0, total reward: 11.0
sample: 58, episode: 0, total reward: 13.0
sample: 59, episode: 0, total reward: 19.0
sample: 60, episode: 0, total reward: 17.0
sample: 61, episode: 0, total reward: 30.0
sample: 62, episode: 0, total reward: 17.0
sample: 63, episode: 0, total reward: 25.0
sample: 64, episode: 0, total reward: 23.0
sample: 65, episode: 0, total reward: 18.0
sample: 66, episode: 0, total reward: 15.0
sample: 67, episode: 0, total reward: 25.0
sample: 68, episode: 0, total reward: 10.0
sample: 69, episode: 0, total reward: 23.0
sample: 70, episode: 0, total reward: 28.0
sample: 71, episode: 0, total reward: 15.0
sample: 72, episode: 0, total reward: 40.0
sample: 73, episode: 0, total reward: 14.0
sample: 74, episode: 0, total reward: 12.0
sample: 75, episode: 0, total reward: 16.0
sample: 76, episode: 0, total reward: 14.0
sample: 77, episode: 0, total reward: 16.0
sample: 78, episode: 0, total reward: 11.0
sample: 79, episode: 0, total reward: 12.0
sample: 80, episode: 0, total reward: 17.0
sample: 81, episode: 0, total reward: 29.0
sample: 82, episode: 0, total reward: 26.0
sample: 83, episode: 0, total reward: 38.0
sample: 84, episode: 0, total reward: 10.0
sample: 85, episode: 0, total reward: 20.0
sample: 86, episode: 0, total reward: 13.0
sample: 87, episode: 0, total reward: 19.0
sample: 88, episode: 0, total reward: 13.0
sample: 89, episode: 0, total reward: 37.0
sample: 90, episode: 0, total reward: 10.0
sample: 91, episode: 0, total reward: 14.0
sample: 92, episode: 0, total reward: 13.0
sample: 93, episode: 0, total reward: 34.0
sample: 94, episode: 0, total reward: 14.0
sample: 95, episode: 0, total reward: 15.0
sample: 96, episode: 0, total reward: 38.0
sample: 97, episode: 0, total reward: 15.0
sample: 98, episode: 0, total reward: 24.0
sample: 99, episode: 0, total reward: 12.0
sample: 100, episode: 0, total reward: 34.0
sample: 101, episode: 0, total reward: 10.0
sample: 102, episode: 0, total reward: 32.0
sample: 103, episode: 0, total reward: 53.0
sample: 104, episode: 0, total reward: 68.0
sample: 105, episode: 0, total reward: 29.0
sample: 106, episode: 0, total reward: 33.0
sample: 107, episode: 0, total reward: 13.0
sample: 108, episode: 0, total reward: 20.0
sample: 109, episode: 0, total reward: 80.0
sample: 110, episode: 0, total reward: 19.0
sample: 111, episode: 0, total reward: 18.0
sample: 112, episode: 0, total reward: 49.0
sample: 113, episode: 0, total reward: 32.0
sample: 114, episode: 0, total reward: 24.0
sample: 115, episode: 0, total reward: 30.0
sample: 116, episode: 0, total reward: 13.0
sample: 117, episode: 0, total reward: 25.0
sample: 118, episode: 0, total reward: 13.0
sample: 119, episode: 0, total reward: 26.0
sample: 120, episode: 0, total reward: 61.0
sample: 121, episode: 0, total reward: 18.0
sample: 122, episode: 0, total reward: 15.0
sample: 123, episode: 0, total reward: 15.0
